created_at,entry_id,Temperature,RH,PM2.5,PM10
2025-01-01 19:05:29 +0530,309,,,54.0,95.0
2025-01-01 19:05:52 +0530,310,,,54.1,90.9
2025-01-01 19:06:14 +0530,311,,,54.8,93.8
2025-01-01 19:06:36 +0530,312,,,53.5,93.8
2025-01-01 19:06:59 +0530,313,,,54.5,102.1
2025-01-01 19:07:22 +0530,314,,,54.3,96.5
2025-01-01 19:07:44 +0530,315,,,53.8,91.2
2025-01-01 19:08:07 +0530,316,,,53.6,90.2
2025-01-01 19:08:29 +0530,317,,,53.7,95.5
2025-01-01 19:08:52 +0530,318,,,54.3,95.0
2025-01-01 19:09:14 +0530,319,,,53.1,87.7
2025-01-01 19:09:37 +0530,320,,,52.3,90.3
2025-01-01 19:10:00 +0530,321,,,52.1,91.8
2025-01-01 19:10:22 +0530,322,,,52.0,86.3
2025-01-01 19:10:45 +0530,323,,,51.6,85.2
2025-01-01 19:11:07 +0530,324,,,53.7,86.2
2025-01-01 19:11:29 +0530,325,,,52.5,86.6
2025-01-01 19:11:52 +0530,326,,,51.7,85.7
2025-01-01 19:12:15 +0530,327,,,52.1,86.9
2025-01-01 19:12:38 +0530,328,,,54.4,96.9
2025-01-01 19:13:01 +0530,329,,,53.4,92.5
2025-01-01 19:13:24 +0530,330,,,53.8,88.6
2025-01-01 19:13:46 +0530,331,,,52.4,87.9
2025-01-01 19:14:08 +0530,332,,,52.7,87.9
2025-01-01 19:14:31 +0530,333,,,54.0,92.9
2025-01-01 19:14:53 +0530,334,,,54.9,92.9
2025-01-01 19:15:17 +0530,335,,,53.7,93.0
2025-01-01 19:15:40 +0530,336,,,52.8,87.8
2025-01-01 19:16:02 +0530,337,,,53.9,95.1
2025-01-01 19:16:24 +0530,338,,,55.2,96.3
2025-01-01 19:16:47 +0530,339,,,52.5,93.9
2025-01-01 19:17:10 +0530,340,,,51.5,85.4
2025-01-01 19:17:33 +0530,341,,,52.7,87.8
2025-01-01 19:17:55 +0530,342,,,51.7,82.7
2025-01-01 19:18:18 +0530,343,,,53.1,86.5
2025-01-01 19:18:40 +0530,344,,,53.4,86.8
2025-01-01 19:19:03 +0530,345,,,53.2,85.8
2025-01-01 19:19:39 +0530,346,,,53.0,88.1
2025-01-01 19:20:02 +0530,347,,,54.5,88.1
2025-01-01 19:20:27 +0530,348,,,54.6,85.6
2025-01-01 19:20:51 +0530,349,,,54.3,97.2
2025-01-01 19:21:16 +0530,350,,,54.3,96.4
2025-01-01 19:21:38 +0530,351,,,52.8,86.3
2025-01-01 19:22:00 +0530,352,,,54.4,88.1
2025-01-01 19:22:23 +0530,353,,,54.3,85.9
2025-01-01 19:22:45 +0530,354,,,53.7,85.5
2025-01-01 19:23:08 +0530,355,,,54.0,87.1
2025-01-01 19:23:32 +0530,356,,,54.3,88.5
2025-01-01 19:23:54 +0530,357,,,53.3,86.1
2025-01-01 19:24:17 +0530,358,,,53.6,86.3
2025-01-01 19:24:40 +0530,359,,,52.5,83.3
2025-01-01 19:25:02 +0530,360,,,54.8,86.8
2025-01-01 19:25:25 +0530,361,,,54.1,90.9
2025-01-01 19:25:47 +0530,362,,,53.3,93.1
2025-01-01 19:26:10 +0530,363,,,53.4,90.5
2025-01-01 19:26:32 +0530,364,,,53.2,79.6
2025-01-01 19:26:55 +0530,365,,,52.2,83.1
2025-01-01 19:27:17 +0530,366,,,53.8,85.9
2025-01-01 19:27:40 +0530,367,,,54.1,86.8
2025-01-01 19:28:02 +0530,368,,,52.9,86.4
2025-01-01 19:28:25 +0530,369,,,54.5,91.3
2025-01-01 19:28:47 +0530,370,,,53.5,87.7
2025-01-01 19:29:10 +0530,371,,,53.4,91.1
